"Pasta","Problema","Detalhe"
"D:\FILE_AINTAR\Ambiente\DARU 2022-2023\DARU 2026","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\DARU 2022-2023\MAIL DADOS 23_04_2024","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\DARU 2022-2023\resposta DARU 22_05_2024","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\AKWEL","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\ALS- Laboratório","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\AQUINOS- EUROTÁBUA","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Avícola São Julião","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\BODUM","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\BROSE","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\CEPSA_TEKBOX - ST COMBA DÃO","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\CICLOMOTOR","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Crizaves","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\DELTAGEL","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\DIN","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Encontrus- João Carlos Alves","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Faturação de medições de caudal- furos-poços","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\FRIOPASTEL","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\FRISALGADOS","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Fátima Pereira- Armazem materiais construção","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\GALP Tondela","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\GENERGE","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\GENUINATMOSFERA","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\GIALMAR","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\GINADO","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
